id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
9.90564E+17,https://twitter.com/MsJobUSA/status/990564029839167489,Sun Apr 29 12:10:43 +0000 2018,2018-04-29 12:10:43+00:00,MsJobUSA,@michelleisawolf Lol we will file @seanspicer opinion on disgraceful behavior in the appropriate circular file with other trash #WHCD #MichelleWolf,reply,,WHCD MichelleWolf,,,0,michelleisawolf,9.90433E+17,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",55405359,Thu Jul 09 23:50:58 +0000 2009,FALSE,"Member of the resistance, advocate for the underdog, Environmentalist (duh), book aficionado, Trader Joe’s loyalist, Mother to free thinkers/awesome ppl",459,235,430,4,National,Ms. JobUSA,1865,Pacific Time (US & Canada),,FALSE
9.90564E+17,https://twitter.com/b1gb4nkh4nk/status/990563836683005952,Sun Apr 29 12:09:57 +0000 2018,2018-04-29 12:09:57+00:00,b1gb4nkh4nk,@michelleisawolf I just watched the #WHCD roast and I was like https://t.co/4Xg7W7xR1B,original,,WHCD,https://twitter.com/b1gb4nkh4nk/status/990563836683005952/photo/1,,0,michelleisawolf,,267856525,en,,FALSE,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.37337E+17,Sun Dec 03 15:05:29 +0000 2017,FALSE,stay ready ain't gotta get ready!!,23,14,255,0,"Arlington, TX",Joshua Harper,660,,,FALSE
9.90564E+17,https://twitter.com/tarheeltroll/status/990563706391101441,Sun Apr 29 12:09:26 +0000 2018,2018-04-29 12:09:26+00:00,tarheeltroll,"@michelleisawolf Smug, creepy, juvenile, boring, tin-eared, junior high school humor. #WHCD",reply,,WHCD,,,2,michelleisawolf,9.90433E+17,267856525,en,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",126680535,Fri Mar 26 17:04:34 +0000 2010,FALSE,Infidel capitalist. Black coffee and a hard roll. I'm with the patriarchy. Recovering bacchanalian.,1667,2046,2780,72,,Billy Bob Blow,52567,Eastern Time (US & Canada),,FALSE
9.90564E+17,https://twitter.com/OutlawPepe/status/990563630897926144,Sun Apr 29 12:09:08 +0000 2018,2018-04-29 12:09:08+00:00,OutlawPepe,"@michelleisawolf You look like shit and you’re jokes suck. 

Anyone can get drunk and act like an asshole. 

#WHCD",original,,WHCD,,,0,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2873355052,Wed Nov 12 04:13:01 +0000 2014,FALSE,"🔮 If you’re gonna kill’em, do it like a man. #MAGA",9283,530,1176,9,Corusant,⚡️Outlaw 🐍 Pepe⚡️,5095,,,FALSE
9.90564E+17,https://twitter.com/BaronVSlither/status/990563584546664449,Sun Apr 29 12:08:56 +0000 2018,2018-04-29 12:08:56+00:00,BaronVSlither,@michelleisawolf is COLD BLOODED! I love it! #WHCD,original,,WHCD,,,0,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",487153481,Thu Feb 09 02:09:29 +0000 2012,FALSE,On Standby's riff machine. Rhythm Guitarist and occasional Vocalist.,81,53,269,2,"Glen Burnie, MD",Brandon Copeland,725,,,FALSE
9.90563E+17,https://twitter.com/mike693169/status/990563378576941056,Sun Apr 29 12:08:07 +0000 2018,2018-04-29 12:08:07+00:00,mike693169,RT @Ahlibobwa26: @michelleisawolf put on the greatest White House Correspondents Dinner performance since @StephenAtHome. Every groan in th…,retweet,,,,,0,,,,en,,,2,9.90491E+17,Ahlibobwa26,3830105592,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",325893821,Wed Jun 29 01:39:24 +0000 2011,FALSE,"Retired AF Veteran of 26 plus years. #Impeach45, #ImpeachPence, #ImpeachRyan! #LOVEVETERANS",4133,216,554,6,,WAhRP,14034,,,FALSE
9.90563E+17,https://twitter.com/Tara_Boston/status/990563352098279424,Sun Apr 29 12:08:01 +0000 2018,2018-04-29 12:08:01+00:00,Tara_Boston,@michelleisawolf Nothing funny about your act #WHCD shame on you.,reply,,WHCD,,,0,michelleisawolf,9.90484E+17,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",88779167,Mon Nov 09 22:24:44 +0000 2009,FALSE,"Committed & Loyal Girlfriend, Daughter, Sister, Auntie, Career Woman & Conservative!

Love will conquer all!

RT are not endorsements",2869,224,426,9,"Boston, MA",Tara_Boston,1984,Eastern Time (US & Canada),,FALSE
9.90563E+17,https://twitter.com/Tara_Boston/status/990562877227589632,Sun Apr 29 12:06:08 +0000 2018,2018-04-29 12:06:08+00:00,Tara_Boston,@michelleisawolf You are horrible person. Anyone who thought that was funny is as mean spirited as you. #WHCD shame on you,reply,,WHCD,,,0,michelleisawolf,9.90433E+17,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",88779167,Mon Nov 09 22:24:44 +0000 2009,FALSE,"Committed & Loyal Girlfriend, Daughter, Sister, Auntie, Career Woman & Conservative!

Love will conquer all!

RT are not endorsements",2869,224,426,9,"Boston, MA",Tara_Boston,1984,Eastern Time (US & Canada),,FALSE
9.90563E+17,https://twitter.com/AwkwardMegs/status/990562849025118208,Sun Apr 29 12:06:01 +0000 2018,2018-04-29 12:06:01+00:00,AwkwardMegs,@michelleisawolf you were there fucking BOSS at the #WHCD you killed it!!!,original,,WHCD,,,0,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",16653590,Wed Oct 08 19:04:45 +0000 2008,FALSE,Objectifier; PhD in Mockery; infamous Awkwardness; Queen of Randomness; host for massive amounts of anxiety. Founding member of Team BadAds and BookSluts.,1096,351,1489,35,Wherever I want to be.,Awesome ends with ME,85355,Central Time (US & Canada),http://www.twitlonger.com/show/d3umad,FALSE
9.90563E+17,https://twitter.com/mike693169/status/990562612759932928,Sun Apr 29 12:05:05 +0000 2018,2018-04-29 12:05:05+00:00,mike693169,"RT @MikeGrant__LA: @michelleisawolf 
Thank You @michelleisawolf for that amazing job on the @whca #WHCD and telling @SarahHuckabee @SHSande…",retweet,,WHCD,,,0,,,,en,,,2,9.90511E+17,MikeGrant__LA,8.89699E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",325893821,Wed Jun 29 01:39:24 +0000 2011,FALSE,"Retired AF Veteran of 26 plus years. #Impeach45, #ImpeachPence, #ImpeachRyan! #LOVEVETERANS",4133,216,554,6,,WAhRP,14034,,,FALSE
9.90563E+17,https://twitter.com/Xoxo_jceleste/status/990562528794173446,Sun Apr 29 12:04:45 +0000 2018,2018-04-29 12:04:45+00:00,Xoxo_jceleste,@michelleisawolf you fucking killed it girl! Everyone was so uncomfortable because you were speaking truth. Good for you!! #WHCD,original,,WHCD,,,1,michelleisawolf,,267856525,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2381342978,Mon Mar 10 01:56:27 +0000 2014,FALSE,#resistance #bluewave2018 🌊,5878,54,372,1,"Austin, TX",Jules 🧜🏻‍♀️,1978,,,FALSE
